name,signal,registration,country,category,length,port,mmsi
SAN ANTONINO.,,375,Argentina,"ALTURA, FRESQUERO",26.7,,NA
SAN BENEDETTO,,2643,Argentina,"COSTEROS, FRESQUERO",15.38,,NA
SAN CARLOS,,775,Argentina,"RADA O RIA, FRESQUERO",13,,NA
SAN GENARO,,763,Argentina,"ALTURA, FRESQUERO",25.6,,NA
SAN GIUSEPPE II,,2335,Argentina,"COSTEROS, FRESQUERO",19.9,,NA
SAN JORGE,,1597,Argentina,"RADA O RIA, FRESQUERO",14.43,,NA
SAN JOSE SEGUNDO,,0108M,Argentina,"RADA O RIA, FRESQUERO",11,,NA
SAN JUAN JOSE,,0396M,Argentina,"RADA O RIA, FRESQUERO",13.03,,NA
SAN PASCUAL,,367,Argentina,"ALTURA, FRESQUERO",25.6,,NA
SAN SALVADOR,,1196,Argentina,"RADA O RIA, FRESQUERO",14.93,,NA
SAN SALVADOR II,,1434,Argentina,"COSTEROS, FRESQUERO",19.4,,NA
SANT'ANGELO,,425,Argentina,"COSTEROS, FRESQUERO",22.6,,NA
SANTA ANA,,0339M,Argentina,"RADA O RIA, FRESQUERO",11,,NA
SANTO VITO DI MAZZARA,,2764,Argentina,"COSTEROS, FRESQUERO",17.56,,NA
SIEMPRE GRACIOSA,,955,Argentina,"RADA O RIA, FRESQUERO",12.47,,NA
SIEMPRE LIBERTAD,,907,Argentina,"RADA O RIA, FRESQUERO",14.3,,NA
SIEMPRE LILIA,,933,Argentina,"RADA O RIA, FRESQUERO",12.98,,NA
SIEMPRE MARIA MADRE,,909,Argentina,"RADA O RIA, FRESQUERO",13.94,,NA
SIEMPRE SAN SALVADOR,,801,Argentina,"COSTEROS, FRESQUERO",22.35,,NA
SIEMPRE SARA MADRE,,932,Argentina,"RADA O RIA, FRESQUERO",14,,NA
SIEMPRE VIEJO PANCHO,,2937,Argentina,"COSTEROS, FRESQUERO",17.98,,NA
SIEMPRE VIRGEN DE LOURDES,,699,Argentina,"RADA O RIA, FRESQUERO",16,,NA
SIEMPRE VIRGEN DE LUJAN,,1069,Argentina,"RADA O RIA, FRESQUERO",12.4,,NA
SIGUE VALIENTE,,1732,Argentina,"RADA O RIA, FRESQUERO",13.87,,NA
SOL,,1148,Argentina,"RADA O RIA, FRESQUERO",14.05,,NA
SOLE MIO,,1147,Argentina,"RADA O RIA, FRESQUERO",12.95,,NA
STELLA ITALIA,,418,Argentina,"RADA O RIA, FRESQUERO",14.73,,NA
STELLA POLARE A,,0344M,Argentina,"COSTEROS, FRESQUERO",14.1,,NA
SUEÑO REAL,,1113,Argentina,"COSTEROS, FRESQUERO",22.9,,NA
SUSANA,,922,Argentina,"COSTEROS, FRESQUERO",18.97,,NA
TANGO I,,2724,Argentina,"ALTURA,PROC.CONGELADOR",50.4,,NA
TEMERARIO,,1444,Argentina,"RADA O RIA, FRESQUERO",18.1,,NA
TEMERARIO I,,1551,Argentina,"COSTEROS, FRESQUERO",23.85,,NA
TENIENTE CORONEL ROMEO ARALDE,,1532,Argentina,"RADA O RIA, FRESQUERO",14.6,,NA
TESON,,1541,Argentina,"ALTURA, FRESQUERO",25.91,,NA
TRITON I (02821),,2821,Argentina,"COSTEROS, FRESQUERO",19.93,,NA
VALIENTE I,,211,Argentina,"ALTURA,PROC.CONGELADOR",35.3,,NA
VALIENTE II,,212,Argentina,"ALTURA,PROC.CONGELADOR",35.3,,NA
VAMOS A PROBAR I,,2532,Argentina,"COSTEROS, FRESQUERO",16.23,,NA
VERAZ,,144,Argentina,"ALTURA, FRESQUERO",27.45,,NA
VERONICA ALEJANDRA N,,2292,Argentina,"COSTEROS, FRESQUERO",15.3,,NA
VICENTE LUIS,,1075,Argentina,"ALTURA, FRESQUERO",27.6,,NA
VICTORIA DEL MAR I,,929,Argentina,"ALTURA,PROC.CONGELADOR",32.2,,NA
VIEIRASA DIECISEIS,,240,Argentina,"ALTURA,PROC.CONGELADOR",36.13,,NA
VIEJO AMABILE,,1866,Argentina,"RADA O RIA, FRESQUERO",14,,NA
VIENTO NORTE,,2900,Argentina,"RADA O RIA, FRESQUERO",15.25,,NA
VIRGEN DE LAS NIEVES,,1359,Argentina,"RADA O RIA, FRESQUERO",14.63,,NA
VIRGEN DE LOURDES,,1179,Argentina,"RADA O RIA, FRESQUERO",11.41,,NA
Vº MARIA INMACULADA,,369,Argentina,"ALTURA, FRESQUERO",28.1,,NA
XIN SHI JI 98,,2995,Argentina,"ALTURA,PROC.CONGELADOR",67.08,,NA
XIN SHI JI Nº 18,,2593,Argentina,"ALTURA,PROC.CONGELADOR",66.2,,NA
YENU,,498,Argentina,"ALTURA,PROC.CONGELADOR",36.83,,NA
DOLINA,,,Uruguay,,,,770576401
RIO SOLIS III,,MVDEO-8595,Uruguay,,57.79,Montevideo,770576346
ATLANTIC EXPRESS,,2936,Argentina,"ALTURA,PROC.CONGELADOR",53.7,,770576342
RAMBLA,,,Uruguay,,,,770576321
GOZILA,,,Uruguay,,,,770576317
LOS COHENDET,,,Uruguay,,,,770576315
EL SACRIFICIO,,,Uruguay,,,,770576314
DON SANTIAGO,,,Uruguay,,,,770576309
TAMBERA I ,,,Uruguay,,,,770576306
PROA PIONEER,,MVDEO-8516,Uruguay,D,42.19,Montevideo,770576305
QIAN LIAN - 2,,MVDEO-8362,Uruguay,B,23.04,Montevideo,770576253
AINOHA,CXVF,MVDEO-8293,Uruguay,C,29.18,Montevideo,770576238
ATLANTIC JANE,,MVDEO-7896,Uruguay,A,46.23,Montevideo,770576200
KRIOS,,MVDEO-7904,Uruguay,B,21.42,Montevideo,770576187
DARTESA II,,MVDEO-5382,Uruguay,B,20.25,Montevideo,770576185
DARTESA I,,MVDEO-5381,Uruguay,B,25.5,Montevideo,770576184
DARTESA IV,,MVDEO-5668,Uruguay,B,21.7,Montevideo,770576183
DARTESA III,,MVDEO-5668,Uruguay,B,21.7,Montevideo,770576182
ATLANTIC MARGARET,,MVDEO-7895,Uruguay,A,46.23,Montevideo,770576174
BESUGO II,,MVDEO-7636,Uruguay,B,19.62,Montevideo,770576160
BESUGO I,,MVDEO-7635,Uruguay,B,19.62,Montevideo,770576159
EXPRESO OPTIMO 2,,MVDEO-6940,Uruguay,B,21.35,Montevideo,770576153
S-5 LAVALLEJA,,MVDEO-5445,Uruguay,B,26,Montevideo,770576151
CALON II,,MVDEO-5709,Uruguay,B,18.63,Montevideo,770576149
INSIGNIA I,,MVDEO-7285,Uruguay,B,27.15,Montevideo,770576146
HECHICERO,,MVDEO-7788,Uruguay,B,20.9,Montevideo,770576142
NILTO I,,MVDEO-7887,Uruguay,A,43.92,Montevideo,770576135
MARIANNE,,MVDEO-7886,Uruguay,A,43.92,Montevideo,770576134
EMPERADOR,,MVDEO-7867,Uruguay,B,21.17,Montevideo,770576131
ISLA ALEGRANZA,,,Uruguay,,,,770576130
PROMOPES I,,MVDO-6630,Uruguay,A,29.19,Montevideo,770576124
RIANXO,,MVDEO-7767,Uruguay,B,20.99,Montevideo,770576123
PROMAR XXII,,MVDEO-7884,Uruguay,B,24.75,Montevideo,770576122
LA PALOMA I,,MVDEO-6093,Uruguay,B,20.85,Montevideo,770576121
ANTARES I,,MVDEO-7671,Uruguay,B,19.62,Montevideo,770576120
SANTA MARIA DEL MAR,,MVDEO-6043,Uruguay,B,20.78,Montevideo,770576119
TACUAREMBO S-2,,MVDEO-1757,Uruguay,B,27,Montevideo,770576118
FLORIDA S-1,,MVDEO-1756,Uruguay,B,27,Montevideo,770576117
VILLALONGA,,MVDEO-7931,Uruguay,B,21.42,Montevideo,770576116
MARIA LAURA I,,MVDEO-6948,Uruguay,B,25,Montevideo,770576115
COPAMAR,,MVDEO-7799,Uruguay,B,20.9,Montevideo,770576114
ALBAMAR,,MVDEO-7798,Uruguay,B,20.9,Montevideo,770576113
SOPESCA,,MVDEO-7890,Uruguay,B,22.39,Montevideo,770576112
ESPARTACO,,MVDEO-7653,Uruguay,B,20.5,Montevideo,770576111
RIO SOLIS II,,MVDEO-8341,Uruguay,,57.79,Montevideo,770576106
LA CRUZ DEL SUR,,MVDEO-7791,Uruguay,B,30.65,Montevideo,770576104
CACIQUE,,MVDEO-7943,Uruguay,B,22.27,Montevideo,770576103
NONI II,,MVDEO-7941,Uruguay,B,21.94,Montevideo,770576102
PROMAR XXI,,MVDEO-7883,Uruguay,B,24.75,Montevideo,770576096
PROMOPES II,,MVDEO-6944,Uruguay,A,30.76,Montevideo,770576091
QIAN LIAN 1,,,Uruguay,,,,770576088
RIO SOLIS,,,Uruguay,,,,770576080
TORRES DEL PAINE,,MVDEO-8078,Uruguay,,27.65,Montevideo,770576071
ASTRA 1,,,Uruguay,,,,770576068
ATLANTIC BEATRICE,,MVDEO-7953,Uruguay,A,46.23,Montevideo,770576065
ZAANDAM,,MVDEO-7897,Uruguay,A,43,Montevideo,770576064
ZURITA,,MVDEO-7898,Uruguay,A,46.23,Montevideo,770576063
CORAL,,MVDEO-8056,Uruguay,A,58.42,Montevideo,770576062
SAN FRANCISCO,,0682M,Argentina,"COSTEROS, FRESQUERO",11.78,,770576060
ATLANTIC RUTHANN,,MVDEO-7894,Uruguay,A,46.23,Montevideo,770576059
MAXAL II,,,Uruguay,C,,,770576050
MANDRAKE I,,MVDEO-7665,Uruguay,B,27,Montevideo,770576047
SENFUKU MARU NO.62,,,Uruguay,,,,770565353
RIANXO,,MVDEO-7767,Uruguay,B,20.99,Montevideo,770445051
LULAIZHOUYU3082,,,Uruguay,,,,770400048
RUIHAIBO 1,,,Uruguay,,,,770202583
CALON I,,MVDEO-5708,Uruguay,B,18.63,Montevideo,770005708
DONA ILVA,,,Uruguay,,,,770001221
MIRIAM,,370,Argentina,"ALTURA,PROC.CONGELADOR",36.35,,701404100
MALVINAS ARGENTINAS,,577,Argentina,"ALTURA, FRESQUERO",29.15,,701100865
ARGENOVA XXVI,,2849,Argentina,"ALTURA,PROC.CONGELADOR",37.15,,701100000
MYRDOMA F,,2771,Argentina,"ALTURA,PROC.CONGELADOR",38.55,,701097000
ARGENOVA XXII,,2714,Argentina,"ALTURA,PROC.CONGELADOR",37.7,,701094000
ENTRENA UNO,,2069,Argentina,"ALTURA,PROC.CONGELADOR",33.1,,701079000
ENTRENA DOS,,2070,Argentina,"ALTURA,PROC.CONGELADOR",33.1,,701078000
LUCIA LUISA,,623,Argentina,"ALTURA, FRESQUERO",27.9,,701070000
ECHIZEN MARU,,326,Argentina,"ALTURA,PROC.FACTORIA",89.59,,701068000
CONARA I,,201,Argentina,"ALTURA,PROC.CONGELADOR",38.67,,701066000
GURISES,,1386,Argentina,"ALTURA, FRESQUERO",25.2,,701059000
ALDEBARAN,,1741,Argentina,"ALTURA, FRESQUERO",26.42,,701056000
