Nombre del buque 	Señal Distintiva 	Matrícula 	País 	Categoría (*) 	Eslora (m) 	Puerto
DON OSCAR 		02184 	Argentina 	COSTEROS, FRESQUERO 	16.25 	
DON PABLO PENNISI 		0960 	Argentina 	RADA O RIA, FRESQUERO 	13.08 	
DON PEDRO. 		068 	Argentina 	ALTURA,PROC.CONGELADOR 	73.6 	
DON RAIMUNDO 		01431 	Argentina 	ALTURA, FRESQUERO 	25.6 	
DON RAUL 		02609 	Argentina 	COSTEROS, FRESQUERO 	12.25 	
DON SALVADOR 		02700 	Argentina 	COSTEROS, FRESQUERO 	12.9 	
DON SANTIAGO 		01733 	Argentina 	ALTURA, FRESQUERO 	26.55 	
DON TOMASSO 		02310 	Argentina 	COSTEROS, FRESQUERO 	17 	
DON TURI 		01540 	Argentina 	ALTURA, FRESQUERO 	26 	
DON VICENTE VUOSO 		0539 	Argentina 	COSTEROS, FRESQUERO 	20.69 	
DOY GRACIAS A DIOS 		0222 	Argentina 	RADA O RIA, FRESQUERO 	15.45 	
DOÑA ALFIA 		0512 	Argentina 	COSTEROS, FRESQUERO 	20.7 	
DOÑA MANUELA 		0694 	Argentina 	RADA O RIA, FRESQUERO 	15.05 	
DR. CARLOS OTTOLENGHI 		02188 	Argentina 	COSTEROS, FRESQUERO 	16.4 	
DUE FRATELLI 		01503 	Argentina 	RADA O RIA, FRESQUERO 	13.91 	
DUKAT 		02775 	Argentina 	ALTURA,PROC.CONGELADOR 	50.8 	
ECHIZEN MARU 		0326 	Argentina 	ALTURA,PROC.FACTORIA 	89.59 	
EL BARBA NEGRA 		02847 	Argentina 	COSTEROS, FRESQUERO 	16.55 	
EL FARO 		01117 	Argentina 	COSTEROS, FRESQUERO 	22.27 	
EL GAUCHITO 		02421 	Argentina 	COSTEROS, FRESQUERO 	15 	
EL MALO I 		02350 	Argentina 	COSTEROS, FRESQUERO 	15.3 	
EL MARISCO I 		0912 	Argentina 	ALTURA, FRESQUERO 	27.22 	
EL MARISCO II 		0915 	Argentina 	ALTURA, FRESQUERO 	56.3 	
EL PRINCIPE AZUL 		0906 	Argentina 	RADA O RIA, FRESQUERO 	13.25 	
EL SANTO 		01526 	Argentina 	COSTEROS, FRESQUERO 	24.95 	
EL TEHUELCHE 		02565 	Argentina 	COSTEROS, FRESQUERO 	17.4 	
EL VENCEDOR 		02619 	Argentina 	RADA O RIA, FRESQUERO 	14.5 	
EMILIA MARIA 		01390 	Argentina 	COSTEROS, FRESQUERO 	22.6 	
EMPESUR I 		01437 	Argentina 	ALTURA,PROC.CONGELADOR 	31 	
EMPESUR II 		01439 	Argentina 	ALTURA,PROC.CONGELADOR 	31 	
EMPESUR III 		01438 	Argentina 	ALTURA,PROC.CONGELADOR 	31 	
EMPESUR IV 		01440 	Argentina 	ALTURA,PROC.CONGELADOR 	32.05 	
EMPESUR V 		02650 	Argentina 	ALTURA,PROC.CONGELADOR 	30.52 	
EMPESUR VI 		02983 	Argentina 	ALTURA,PROC.CONGELADOR 	35.03 	
EMPESUR VII 		02122 	Argentina 		35.03 	
ENRIQUE F 		02360 	Argentina 	COSTEROS, FRESQUERO 	16.9 	
ENTRENA DOS 		02070 	Argentina 	ALTURA,PROC.CONGELADOR 	33.1 	
ENTRENA UNO 		02069 	Argentina 	ALTURA,PROC.CONGELADOR 	33.1 	
ERIN BRUCE 		0537 	Argentina 	ALTURA,PROC.CONGELADOR 	53.6 	
ES POSIBLE 		0966 	Argentina 	RADA O RIA, FRESQUERO 	12.85 	
ES POSIBLE II 		0965 	Argentina 	RADA O RIA, FRESQUERO 	12.85 	
ESAMAR Nº 4 		0467 	Argentina 	ALTURA,PROC.CONGELADOR 	54.8 	
ESPADARTE 		02048 	Argentina 	ALTURA,PROC.CONGELADOR 	68.2 	
ESPERANZA 909 		02577 	Argentina 	ALTURA,PROC.CONGELADOR 	72.34 	
ESPERANZA DOS 		0172 	Argentina 	ALTURA,PROC.CONGELADOR 	53 	
ESTEFANY 		01583 	Argentina 	COSTEROS, FRESQUERO 	23.6 	
ESTEIRO 		01887 	Argentina 	ALTURA, FRESQUERO 	38.1 	
ESTHER 153 		02058 	Argentina 	ALTURA,PROC.CONGELADOR 	55.1 	
ESTRELLA N° 5 		0246 	Argentina 	ALTURA,PROC.CONGELADOR 	54.2 	
ESTRELLA N° 6 		012 	Argentina 	ALTURA,PROC.CONGELADOR 	55.85 	
ESTRELLA Nº 11 		02575 	Argentina 	ALTURA,PROC.CONGELADOR 	64.72 	
ESTRELLITA 		01115 	Argentina 	RADA O RIA, FRESQUERO 	15.38 	
ETERNO SAN JOSE 		01493 	Argentina 	RADA O RIA, FRESQUERO 	13.41 	
EURO II 		02314 	Argentina 	COSTEROS, FRESQUERO 	20.1 	
FE EN DIOS 		01187 	Argentina 	COSTEROS, FRESQUERO 	17.31 	
FEIXA 		0529 	Argentina 	ALTURA, FRESQUERO 	41.5 	
FELISITAS 		02141 	Argentina 	RADA O RIA, FRESQUERO 	15.6 	
FELIX AUGUSTO 		0581 	Argentina 	ALTURA,PROC.CONGELADOR 	27.8 	
FERNANDO ALVAREZ 		013 	Argentina 	ALTURA,PROC.CONGELADOR 	36.6 	
FIDES FE I 		01531 	Argentina 	COSTEROS, FRESQUERO 	20.67 	
